"site","ore","passage_length","azimuth","entrance_height","entrance_width","levels","shafts","external_ta","internal_ta","internal_rh","month","day","year","disturbance","total_bats","estimate_or_count","myotis_count","myotis_identified","mylu","myse","epsu","pips"
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,NA,"31.1-45.5",NA,"42776",NA,NA,NA,"8647","c","8459",142,142,0,188,"0"
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,"30","34.7-44.6","75-96.3","43827",NA,NA,NA,"5155",NA,"4909",691,691,0,245,"1"
"Norway Mine",NA,NA,NA,NA,NA,NA,NA,NA,"2.2-4.4",NA,"45274",NA,NA,NA,"10284","c","9535",351,351,0,748,"1"
"The Norwich (Norwich B)","Copper",NA,NA,NA,NA,"?",1,NA,NA,NA,"40022",NA,NA,"Low","0",NA,NA,NA,NA,NA,NA,NA
"The Norwich (Norwich B)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41607",NA,NA,NA,"2","c","0",NA,NA,NA,2,"0"
"Norwich D (MacDonald Shaft)","Copper","80","999","8","10","0",1,NA,NA,NA,"37314",NA,NA,"Low","0","C","0",0,NA,NA,0,"0"
"Norwich D (MacDonald Shaft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ogimaw Adit","Copper","90","345","5","7","1",0,NA,"30-40.9",NA,"38702",NA,NA,"Low","28","C","28",0,NA,NA,0,"0"
"Ogimaw Adit",NA,NA,NA,NA,NA,NA,NA,"32","41.9","100","40898",NA,NA,NA,"24","C","23",21,14,7,1,"0"
"Ogimaw Adit",NA,NA,NA,NA,NA,NA,NA,"17","39.200000000000003",NA,"41337",NA,NA,NA,"21","c","21",18,2,16,0,"0"
"Ogimaw Adit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42782",NA,NA,NA,"4","C","4",4,4,0,0,"0"
"Ogimaw Adit",NA,NA,NA,NA,NA,NA,NA,NA,"41","96.3","43820",NA,NA,NA,"2",NA,"2",2,2,0,0,"0"
"Ogimaw Mine","Copper","338",NA,NA,NA,"1",0,"37.6","41.4-44.9","88-100","36143",NA,NA,"Low","410","C","407",25,25,0,3,"0"
"Ohio Traprock Mine #1","Copper","106","355","4","6","1",0,"27.4","43.7","89","36146",NA,NA,"Low","150","C","149",35,28,7,1,"0"
"Ohio Traprock Mine #1",NA,NA,NA,NA,NA,NA,NA,"25","39.200000000000003","92.4","43152",NA,NA,NA,"81",NA,"74",74,74,0,7,"0"
"Ohio Traprock Mine #2","Copper","111","340","2","2","1",0,"27.4","48.6","93","36146",NA,NA,"Low","654","C","654",26,26,0,0,"0"
"Ohio Traprock Mine #2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41993",NA,NA,NA,"274","c","274",270,255,15,0,"0"
"Ohio Traprock Mine #2",NA,NA,NA,NA,NA,NA,NA,"25","46.4","100","43152",NA,NA,NA,"49",NA,"49",49,49,0,0,"0"
"Ohio Traprock Mine #3","Copper","95","34","8","12","1",1,"27.4","41","82","36146",NA,NA,"Low","19","C","13",10,8,2,6,"0"
"Ohio Traprock Mine #3",NA,NA,NA,NA,NA,NA,NA,"25","32","82","43152",NA,NA,NA,"11",NA,"8",8,8,0,3,"0"
"Ohio Traprock Mine #59 (Norwich Adit)","Copper","45","302","8","4","1",0,"-12",NA,NA,"35131",NA,NA,"Low","0",NA,NA,NA,NA,NA,NA,NA
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39880",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"27","34","80","40509",NA,NA,NA,"0","C","0",0,NA,NA,0,"0"
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"30.6","35.6","100","41278",NA,NA,NA,"6","C","6",6,0,6,0,"0"
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"35-37","42.8",NA,"42333",NA,NA,NA,"2","c","1",1,0,1,1,"0"
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"40.5-41","45.5",NA,"42692",NA,NA,NA,"2","c","0",0,0,0,2,"0"
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","42.8",NA,"43057",NA,NA,NA,"2","c","0",0,0,0,2,"0"
"Ohio Traprock Mine #59 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"39",NA,NA,"43785",NA,NA,NA,"0",NA,"0",0,0,0,0,"0"
"Ohio Traprock Mine #60 (Norwich Adit)","Copper","236","302","6","4.5","1",0,NA,"44.4-47.4","93","35131",NA,NA,"Low","294","C","291",31,22,9,3,"0"
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"29.5","46.7-47.8",NA,"39880",NA,NA,NA,"253","C","247",0,NA,NA,6,"0"
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"27","45-46.4","85-91","40509",NA,NA,NA,"308","C","305",0,NA,NA,3,"0"
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"30.6","46-46.4","96.7","41278",NA,NA,NA,"274","C","270",0,242,28,4,"0"
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,NA,"41-45.6",NA,"41991",NA,NA,NA,"305","c","299",299,263,36,6,"0"
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"35-37","46.4",NA,"42333",NA,NA,NA,"191","c","188",187,168,19,3,"0"
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"40.5-41",NA,NA,"42692",NA,NA,NA,"74","c","74",74,66,8,0,"0"
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,"33.799999999999997","47.3",NA,"43057",NA,NA,NA,"51","c","50",50,48,2,1,"0"
"Ohio Traprock Mine #60 (Norwich Adit)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43785",NA,NA,NA,"39",NA,"37",37,37,0,2,"0"
