"site","slope","intercept","relative_year","predicted_count","source"
"Tippy Dam",0.442102096078628,1.49238792498245,9,5.4713067896901,"Trend Line"
"Tippy Dam",0.442102096078628,1.49238792498245,10,5.91340888576873,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,0,-0.0109969040247678,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,1,0.0544891640866873,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,2,0.119975232198142,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,3,0.185461300309598,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,4,0.250947368421053,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,5,0.316433436532508,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,6,0.381919504643963,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,7,0.447405572755418,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,8,0.512891640866873,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,9,0.578377708978328,"Trend Line"
"Windsor Shaft #3",0.0654860681114551,-0.0109969040247678,10,0.643863777089783,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,0,0.00175994368180215,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,1,0.108412530799014,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,2,0.215065117916227,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,3,0.321717705033439,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,4,0.428370292150651,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,5,0.535022879267863,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,6,0.641675466385076,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,7,0.748328053502288,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,8,0.8549806406195,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,9,0.961633227736712,"Trend Line"
"the belt mine",0.106652587117212,0.00175994368180215,10,1.06828581485392,"Trend Line"
